timestamp,pos,future_pos,future_trend
21800,218,228,Uptrend
22600,226,236,Downtrend
22600,226,236,Downtrend
22600,226,236,Downtrend
30800,308,318,Downtrend
43700,437,447,Downtrend
57900,579,589,Uptrend
57900,579,589,Uptrend
65500,655,665,Downtrend
65500,655,665,Downtrend
65500,655,665,Downtrend
65500,655,665,Downtrend
66900,669,679,Downtrend
66900,669,679,Downtrend
68900,689,699,Downtrend
109400,1094,1104,Uptrend
109400,1094,1104,Uptrend
109400,1094,1104,Uptrend
109400,1094,1104,Uptrend
115600,1156,1166,Downtrend
116100,1161,1171,Uptrend
132700,1327,1337,Uptrend
173900,1739,1749,Downtrend
173900,1739,1749,Downtrend
173900,1739,1749,Downtrend
191700,1917,1927,Downtrend
199500,1995,2005,Downtrend
202800,2028,2038,Uptrend
202800,2028,2038,Uptrend
205400,2054,2064,Downtrend
205400,2054,2064,Downtrend
220500,2205,2215,Uptrend
237100,2371,2381,Downtrend
243200,2432,2442,Uptrend
249900,2499,2509,Downtrend
249900,2499,2509,Downtrend
249900,2499,2509,Downtrend
249900,2499,2509,Downtrend
253700,2537,2547,Uptrend
253700,2537,2547,Uptrend
253700,2537,2547,Uptrend
273700,2737,2747,Downtrend
277000,2770,2780,Uptrend
287100,2871,2881,Downtrend
306000,3060,3070,Downtrend
317200,3172,3182,Downtrend
317400,3174,3184,Downtrend
332600,3326,3336,Uptrend
335200,3352,3362,Uptrend
336100,3361,3371,Uptrend
336100,3361,3371,Uptrend
336100,3361,3371,Uptrend
393500,3935,3945,Downtrend
393500,3935,3945,Downtrend
398200,3982,3992,Uptrend
411800,4118,4128,Downtrend
411800,4118,4128,Downtrend
411800,4118,4128,Downtrend
425100,4251,4261,Downtrend
427600,4276,4286,Uptrend
428000,4280,4290,Uptrend
429700,4297,4307,Downtrend
439000,4390,4400,Uptrend
474700,4747,4757,Downtrend
474700,4747,4757,Downtrend
486200,4862,4872,Downtrend
492900,4929,4939,Downtrend
492900,4929,4939,Downtrend
501300,5013,5023,Uptrend
505300,5053,5063,Uptrend
505300,5053,5063,Uptrend
506600,5066,5076,Uptrend
506600,5066,5076,Uptrend
506600,5066,5076,Uptrend
506600,5066,5076,Uptrend
523100,5231,5241,Downtrend
523100,5231,5241,Downtrend
535200,5352,5362,Uptrend
535200,5352,5362,Uptrend
545000,5450,5460,Uptrend
545000,5450,5460,Uptrend
545000,5450,5460,Uptrend
545000,5450,5460,Uptrend
556100,5561,5571,Uptrend
556100,5561,5571,Uptrend
563300,5633,5643,Downtrend
573200,5732,5742,Uptrend
573200,5732,5742,Uptrend
574800,5748,5758,Downtrend
575900,5759,5769,Downtrend
576500,5765,5775,Downtrend
577500,5775,5785,Downtrend
577500,5775,5785,Downtrend
620300,6203,6213,Downtrend
620300,6203,6213,Downtrend
621900,6219,6229,Uptrend
629300,6293,6303,Downtrend
632400,6324,6334,Uptrend
632400,6324,6334,Uptrend
641100,6411,6421,Uptrend
653700,6537,6547,Downtrend
653700,6537,6547,Downtrend
663000,6630,6640,Uptrend
663000,6630,6640,Uptrend
682200,6822,6832,Uptrend
682200,6822,6832,Uptrend
682200,6822,6832,Uptrend
715300,7153,7163,Uptrend
715300,7153,7163,Uptrend
715300,7153,7163,Uptrend
715300,7153,7163,Uptrend
716300,7163,7173,Downtrend
717300,7173,7183,Downtrend
728100,7281,7291,Downtrend
739100,7391,7401,Downtrend
742100,7421,7431,Downtrend
747700,7477,7487,Uptrend
747700,7477,7487,Uptrend
754200,7542,7552,Downtrend
754200,7542,7552,Downtrend
754200,7542,7552,Downtrend
754200,7542,7552,Downtrend
798500,7985,7995,Downtrend
830500,8305,8315,Downtrend
836400,8364,8374,Uptrend
836400,8364,8374,Uptrend
854200,8542,8552,Uptrend
854200,8542,8552,Uptrend
871200,8712,8722,Uptrend
871200,8712,8722,Uptrend
871200,8712,8722,Uptrend
872900,8729,8739,Uptrend
872900,8729,8739,Uptrend
885400,8854,8864,Downtrend
886700,8867,8877,Uptrend
886700,8867,8877,Uptrend
892000,8920,8930,Downtrend
892000,8920,8930,Downtrend
892000,8920,8930,Downtrend
892000,8920,8930,Downtrend
894900,8949,8959,Uptrend
926700,9267,9277,Downtrend
939100,9391,9401,Uptrend
956200,9562,9572,Uptrend
956200,9562,9572,Uptrend
956200,9562,9572,Uptrend
956200,9562,9572,Uptrend
956200,9562,9572,Uptrend
971200,9712,9722,Uptrend
971200,9712,9722,Uptrend
982900,9829,9839,Downtrend
982900,9829,9839,Downtrend
990200,9902,9912,Uptrend
100,1,11,Downtrend
39500,395,405,Downtrend
43700,437,447,Downtrend
43700,437,447,Downtrend
52000,520,530,Downtrend
54500,545,555,Downtrend
54500,545,555,Downtrend
61700,617,627,Downtrend
73200,732,742,Uptrend
84300,843,853,Downtrend
84300,843,853,Downtrend
84300,843,853,Downtrend
90100,901,911,Downtrend
132700,1327,1337,Uptrend
141900,1419,1429,Downtrend
141900,1419,1429,Downtrend
141900,1419,1429,Downtrend
141900,1419,1429,Downtrend
176300,1763,1773,Downtrend
179900,1799,1809,Uptrend
189900,1899,1909,Uptrend
189900,1899,1909,Uptrend
201300,2013,2023,Downtrend
233800,2338,2348,Downtrend
233800,2338,2348,Downtrend
246800,2468,2478,Uptrend
246800,2468,2478,Uptrend
248000,2480,2490,Downtrend
248000,2480,2490,Downtrend
272100,2721,2731,Downtrend
280300,2803,2813,Downtrend
280300,2803,2813,Downtrend
280500,2805,2815,Downtrend
326700,3267,3277,Uptrend
326900,3269,3279,Uptrend
326900,3269,3279,Uptrend
326900,3269,3279,Uptrend
351200,3512,3522,Downtrend
351200,3512,3522,Downtrend
354100,3541,3551,Downtrend
354100,3541,3551,Downtrend
355900,3559,3569,Downtrend
362600,3626,3636,Uptrend
362600,3626,3636,Uptrend
371100,3711,3721,Uptrend
371100,3711,3721,Uptrend
371100,3711,3721,Uptrend
388100,3881,3891,Uptrend
388100,3881,3891,Uptrend
408000,4080,4090,Uptrend
458700,4587,4597,Downtrend
485800,4858,4868,Downtrend
498200,4982,4992,Uptrend
